timestamp,open,high,low,close,volume
2024-01-02T09:30:00Z,185.50,185.75,185.45,185.60,15000
2024-01-02T09:31:00Z,185.60,185.80,185.55,185.70,12000
2024-01-02T09:32:00Z,185.70,185.85,185.65,185.75,13500
2024-01-02T09:33:00Z,185.75,185.90,185.70,185.85,11000
2024-01-02T09:34:00Z,185.85,186.00,185.80,185.95,14200
2024-01-02T09:35:00Z,185.95,186.10,185.90,186.05,16800
2024-01-02T09:36:00Z,186.05,186.20,186.00,186.15,13200
2024-01-02T09:37:00Z,186.15,186.25,186.10,186.20,11800
2024-01-02T09:38:00Z,186.20,186.35,186.15,186.30,15600
2024-01-02T09:39:00Z,186.30,186.40,186.25,186.35,12400
