timestamp,open,high,low,close,volume
2024-01-02T09:30:00Z,495.50,498.20,494.80,497.35,45600
2024-01-02T09:31:00Z,497.35,498.90,496.70,498.15,38200
2024-01-02T09:32:00Z,498.15,500.25,497.80,499.60,52100
2024-01-02T09:33:00Z,499.60,501.40,499.20,500.85,41800
2024-01-02T09:34:00Z,500.85,502.10,500.40,501.55,39400
2024-01-02T09:35:00Z,501.55,503.20,501.00,502.40,48300
2024-01-02T09:36:00Z,502.40,503.80,502.10,503.25,35700
2024-01-02T09:37:00Z,503.25,504.50,502.90,504.10,44100
2024-01-02T09:38:00Z,504.10,505.30,503.70,504.85,37600
2024-01-02T09:39:00Z,504.85,506.20,504.40,505.60,42900
