timestamp,open,high,low,close,volume
2024-01-02T09:30:00Z,138.50,139.25,138.20,138.85,15200
2024-01-02T09:31:00Z,138.85,139.10,138.60,138.75,12400
2024-01-02T09:32:00Z,138.75,139.50,138.70,139.20,18900
2024-01-02T09:33:00Z,139.20,139.80,139.00,139.35,16800
2024-01-02T09:34:00Z,139.35,139.90,139.10,139.60,14200
2024-01-02T09:35:00Z,139.60,140.20,139.40,140.05,19500
2024-01-02T09:36:00Z,140.05,140.35,139.85,140.15,11300
2024-01-02T09:37:00Z,140.15,140.60,140.00,140.45,17600
2024-01-02T09:38:00Z,140.45,140.80,140.25,140.55,13700
2024-01-02T09:39:00Z,140.55,140.95,140.40,140.70,15800
