timestamp,open,high,low,close,volume
2024-01-02T09:30:00Z,248.50,249.00,248.25,248.75,22000
2024-01-02T09:31:00Z,248.75,249.20,248.60,248.90,18500
2024-01-02T09:32:00Z,248.90,249.35,248.80,249.10,21000
2024-01-02T09:33:00Z,249.10,249.45,249.00,249.25,16800
2024-01-02T09:34:00Z,249.25,249.60,249.15,249.40,19200
2024-01-02T09:35:00Z,249.40,249.75,249.30,249.55,24600
2024-01-02T09:36:00Z,249.55,249.80,249.45,249.70,17400
2024-01-02T09:37:00Z,249.70,249.90,249.60,249.80,20100
2024-01-02T09:38:00Z,249.80,250.00,249.70,249.85,22800
2024-01-02T09:39:00Z,249.85,250.10,249.75,249.95,18900
