timestamp,open,high,low,close,volume
2024-01-02T09:30:00Z,475.80,476.25,475.50,476.05,85400
2024-01-02T09:31:00Z,476.05,476.40,475.85,476.15,72300
2024-01-02T09:32:00Z,476.15,476.70,476.00,476.45,89600
2024-01-02T09:33:00Z,476.45,477.00,476.30,476.80,76800
2024-01-02T09:34:00Z,476.80,477.20,476.60,477.05,68200
2024-01-02T09:35:00Z,477.05,477.60,476.90,477.35,94500
2024-01-02T09:36:00Z,477.35,477.80,477.15,477.60,61700
2024-01-02T09:37:00Z,477.60,478.10,477.40,477.85,83300
2024-01-02T09:38:00Z,477.85,478.30,477.65,478.05,69400
2024-01-02T09:39:00Z,478.05,478.50,477.85,478.25,78100
